total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,phase_convergence_step,mag_convergence_step,reprojection_data_error,recovery_err,iteraciones
354438630.3712129,16046829979.934156,2.2418514997653007,189254.02489651903,0.0002536601780159914,1.3494195478341797,0.09284156361565525,0.9320345803774686,50
373349691.01557946,16029871937.014196,2.2420034789619057,193938.43188332082,0.00034976577993394494,2.539103078881699,0.09154587291692741,0.927063730678878,100
420469961.1562723,16031966786.963192,2.241057048083289,199585.44102639306,0.00042990019927463145,4.775003888615393,0.08872039372522364,0.915965007566728,150
487048300.61050236,16036929160.871147,2.2397945950517104,205747.1724268087,0.00042426379946766544,4.982494174991533,0.08369369057000532,0.9035203367557185,200
550288814.8582796,16036842621.176186,2.2381753086643204,211369.3539762246,0.00044679663024472507,4.885390512227935,0.07793993876769491,0.8938312495451459,250
606720286.0971417,16029879114.73946,2.2368944070658214,216647.5195755164,0.0003848470440119004,4.326483290833846,0.07196770063023637,0.886019162145606,300
655797078.8270181,16022912401.529812,2.235341679593373,220073.51398657524,0.000325131725916198,3.7438432615588355,0.0666308897555254,0.879777462076841,350
698304250.092169,16017946569.914104,2.2340452006861247,222394.43830161076,0.00024529173970665505,3.152270042717862,0.062217710244374974,0.8750328296654812,400
735042971.6541474,16014223739.750504,2.232457714136952,224262.6981799629,0.00022929443985954416,2.8264884550626865,0.0585912807123206,0.8712686248401564,450
768229104.5483015,16011029857.015926,2.2308849229206866,225398.03499947058,0.00020680828320992765,2.6155676076699623,0.05548546226214369,0.8677615255678016,500
798433906.6616054,16008540960.403576,2.229526374722285,226375.24857612618,0.0001912930570906591,2.4312143522725855,0.05279547875014503,0.8643493482207408,550
825836069.2587569,16007074606.716518,2.228543420782445,226950.26581817243,0.00016896037279069318,2.2664008026268903,0.05045077632143,0.8611010541205433,600
851199034.9356639,16006539749.144947,2.227912672619938,227242.33526139474,0.00014362531776756268,2.0810001637976683,0.048414237388184185,0.858163445089046,650
874618058.5816973,16006580442.002377,2.227439017173335,227337.14097848622,0.0001279722714071323,1.893487446979393,0.046610735882935427,0.855612208096017,700
896308356.9235709,16006925809.496222,2.2270911336964128,227074.82565471038,0.00011479411572903965,1.7518622684853424,0.04499937452455513,0.8533965258295962,750
916480775.3376336,16007457361.398464,2.226773601467222,226999.2531125088,0.00010635603930774241,1.6358063669787466,0.04353400947633996,0.8514060581015788,800
935289284.2434814,16008082490.175377,2.2265242228992483,226668.53719478956,9.957362878947186e-05,1.5383755391467817,0.04219714283310594,0.8495472781147363,850
952836282.3376513,16008741449.213787,2.226430707115348,226682.60125348077,8.80175033924742e-05,1.4530590422335248,0.040973823666210975,0.847796054762075,900
969192463.6645064,16009418497.052921,2.2263292811553406,226657.43069899973,8.336840843330252e-05,1.3717653155799265,0.03985008371152099,0.8461735369836016,950
984488617.1826286,16010081319.756414,2.2262515371572698,226694.83866718318,7.724891801586678e-05,1.2956950133682306,0.03880941560118985,0.8446839863627488,1000
