total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,reprojection_data_error,recovery_err,phase_convergence_step,mag_convergence_step,iteraciones
318909954.506086,16049708555.286346,2.241894075369165,188158.888648725,0.23679571418257234,0.9381107289367208,,,1
318798449.72227526,16050315181.524694,2.241895436030048,188162.85907783807,0.23619737385522446,0.9381209802710756,5.370169708590329e-05,1.024844594595758,2
318659048.08661544,16051257595.475843,2.2418976520496523,188145.95130037476,0.23500925633056816,0.9381326536838643,8.01593256670066e-05,1.4915368405787939,3
318513952.766889,16052573683.311153,2.24190175021877,188150.0955725945,0.2332499821632597,0.9381418965659591,0.00010627139623614298,1.906427868142364,4
318398104.8929447,16054306497.693344,2.2419018580324703,188167.5888950628,0.23094765479868706,0.9381431084089675,0.00013208319846739472,2.263647773603228,5
318346446.08207965,16056497265.730701,2.241897460444085,188124.46567287936,0.22813901804010667,0.9381310877715694,0.00015792674630117962,2.5595633875595367,6
318387871.9629448,16059177578.785952,2.241895975244125,188150.90355618473,0.22486736494241202,0.9380980606036526,0.00018328931689764907,2.7823586168900794,7
318530939.0370821,16062362991.281708,2.2419006390929592,188143.7784424653,0.22118691628870568,0.9380371845559794,0.00019893768298477073,2.9739609775048423,8
318847976.2022871,16066047806.915323,2.241900466411951,188177.39226663602,0.21714831559801742,0.9379466784392906,0.00021052997052888097,3.1534269892930387,9
319359553.1220536,16070199941.895435,2.2418977928331616,188198.3011863222,0.2128142093119418,0.9378250942472716,0.0002224072641950159,3.361601721447536,10
