total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,reprojection_data_error,recovery_err,phase_convergence_step,mag_convergence_step,iteraciones
419173564.2925827,32357968339.979813,2.1866408406022657,291988.58656475355,0.21307845891457752,0.944183766482564,,,1
419009519.37549186,32358888996.624146,2.186643679035783,291988.828332711,0.21255698187879055,0.9442066528417044,5.262322953863288e-05,1.481101895631622,2
418793167.5313772,32360366467.954254,2.1866477714892736,291986.1016689677,0.21152053836550994,0.9442370945177548,7.88560041335678e-05,2.1497937299703653,3
418555692.7193378,32362517469.027786,2.1866515357524197,292011.451877954,0.2099832878470908,0.9442706274585321,0.00010487687014010524,2.7364241746724596,4
418336820.78933024,32365482646.724113,2.186654268461929,292056.4441241054,0.20796847155216167,0.9443006073808051,0.00013045199063525266,3.2185508196225787,5
418215391.4336388,32369410756.7715,2.1866584344667785,292065.2710389944,0.20550384768796748,0.9443190660806399,0.00015525195910572506,3.5771746364715837,6
418242722.17334557,32374441103.46192,2.1866625948861667,292068.1319084051,0.20262414078296864,0.9443178891525552,0.00017895607934304938,3.8318562966507392,7
418466358.5769901,32380685187.426895,2.1866584233081467,292113.2863189791,0.19936883601219038,0.9442889707579191,0.0002078206761710622,4.008432058951114,8
418914688.5811858,32388203631.287674,2.186656523686794,292129.07806970284,0.19578245065752484,0.9442219242042597,0.0002324555949287207,4.118477226786082,9
419668107.8360621,32397017261.872833,2.1866640555093815,292138.6250744903,0.19191137431340102,0.944110565050354,0.00023383567304706396,4.288118980816503,10
