total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,reprojection_data_error,recovery_err,phase_convergence_step,mag_convergence_step,iteraciones
32758505.36615563,15710939.73474478,1.6261515950186123,592600.0966751061,0.9988463915065848,0.99153123821612,,,1
32860789.63200298,15880013.555341281,1.6261518954254053,592606.5649671117,0.9988402494145538,0.9915064827829561,3.814634599738888e-05,0.3202075301225054,2
33016385.01758946,16136542.677790308,1.6261526547244474,592628.1583702139,0.9988278868355615,0.9914690575687897,5.7295690115284776e-05,0.4837700582403891,3
33227532.59490507,16484521.497778676,1.6261541694494155,592628.1732175478,0.9988091067596653,0.9914185460454673,7.666600942543062e-05,0.6523023121852891,4
33496941.708413266,16929605.23186231,1.6261570896968554,592643.3902264653,0.998783588563121,0.9913543529733668,9.64326240628257e-05,0.827890222376047,5
33826540.16364744,17479269.63242487,1.6261623720249736,592668.1408611934,0.9987508780827857,0.9912756864633251,0.00011687911929774061,1.0128040817580555,6
34232333.539960295,18143023.372129776,1.6261710777565932,592638.4207793447,0.9987103709132515,0.9911815281201403,0.0001385903483043367,1.2089443466883851,7
34708569.63134608,18932675.993876237,1.6261839094017698,592687.1443068502,0.9986612943591172,0.9910705870445421,0.00016352618205272047,1.4184540889137298,8
35261112.21442636,19862731.752804168,1.626195767198064,592717.2821085402,0.9986026783239212,0.9909412936295361,0.00018598759866542583,1.6476637944704315,9
35909643.43704727,20950970.41079495,1.6261973140328478,592738.1143526342,0.9985333183173823,0.9907918619836575,0.0002018124265154989,1.8985205571798296,10
