total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,reprojection_data_error,recovery_err,phase_convergence_step,mag_convergence_step,iteraciones
11610628.512083126,1780075.6784250555,1.4311102279236132,359894.94027144567,0.9998606144655132,0.9967799676002418,,,1
11645637.385637008,1798623.8328437274,1.431109734472292,359894.93347120757,0.9998599011712851,0.9967708961968058,3.3113032146147194e-05,0.11638811252526876,2
11698784.106118452,1826770.4395805467,1.4311089692137917,359895.05104877346,0.9998584656816695,0.9967571942040434,4.950646848075072e-05,0.17581143568847546,3
11770738.749278486,1864958.9321710854,1.4311079518547691,359907.8962256968,0.9998562857566076,0.9967387250546098,6.586800677633134e-05,0.23703107977027385,4
11862533.310672972,1913818.3124091676,1.4311059203794743,359923.5852720253,0.9998533250887743,0.9967152949343936,8.229409744216845e-05,0.30079141840581075,5
11976731.621628892,1974182.6985796615,1.4311024404683006,359927.5412651624,0.999849532237929,0.9966866493776484,9.889404537710178e-05,0.367867751590138,6
12113709.865417171,2047117.9300457062,1.4310989812194779,359938.20279860625,0.999844838917925,0.996652474603307,0.0001158595262409443,0.4390845195783189,7
12278478.432067305,2133956.266803568,1.4310969804040239,359894.2623076278,0.9998391577362176,0.9966124477838105,0.0001339471237154211,0.5153224303938664,8
12473275.607787833,2236338.835230238,1.4311039390567113,359936.8849688008,0.9998323791604173,0.9965660158428215,0.00015663178813161684,0.5975534942122775,9
12702342.292683741,2356270.785821988,1.431111919558391,359965.6189081414,0.9998243676806071,0.9965125761852619,0.000174112909622422,0.68785195645556,10
