total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,reprojection_data_error,recovery_err,phase_convergence_step,mag_convergence_step,iteraciones
318908028.09951735,16049717848.170944,2.2418941114401387,188158.9160280422,0.21305834380648972,0.9381109405813728,,,1
318793278.85009086,16050343814.42861,2.2418955479869602,188162.93020218713,0.21242212004175906,0.938121518545482,5.4338411573819134e-05,1.0550685850103882,2
318650422.0261756,16051317263.433014,2.2418979116999904,188146.0974206429,0.2111590270379184,0.938133477097587,8.109837748935836e-05,1.5340767145768042,3
318503623.5898447,16052678309.58404,2.241902227849707,188146.20747962873,0.2092893426473161,0.9381426693288483,0.00010750254215047813,1.958478703188605,4
318388945.1666677,16054472163.869434,2.2419016256690782,188156.55116319616,0.20684395979304504,0.9381432352649902,0.00013359905815929897,2.3222640064253652,5
318344481.25594044,16056741573.430994,2.2418975440667728,188142.0358243941,0.20386269717217584,0.9381296028758428,0.00015981139222378036,2.62102369498575,6
318395404.5197389,16059518520.329647,2.241896765065649,188152.32013038266,0.20039364433460818,0.9380934789442091,0.00018489622096346737,2.843006875461333,7
318559544.73619974,16062817218.86637,2.241901653652881,188142.6580699277,0.19649458860191957,0.9380281346166507,0.00019939273471653092,3.0397441933961034,8
318906769.5321866,16066628676.54668,2.241901055769092,188169.20220348527,0.19222142112716026,0.9379322403186715,0.00021095114970321382,3.2246621908322295,9
319459291.85507584,16070915464.487934,2.2418977348443088,188207.7193022311,0.1876431408034477,0.9378037173939883,0.00022254614843386796,3.4484482609806957,10
