total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,phase_convergence_step,mag_convergence_step,reprojection_data_error,recovery_err,iteraciones
318544925.23387647,1539441901.4512968,1.9752590712864389,761254.6369529399,0.001886516564100345,99.95684216670618,0.9413093937941882,0.9646761701958584,50
496410166.56371874,31996004634.642998,1.9745786480192598,772750.4592193468,0.0012805058163690504,14.728025893432536,0.13036589258254286,0.9383794604539878,100
580201163.2722886,32390400681.341682,1.97425825599893,781415.8192812939,0.0012168744905840954,8.377056994388333,0.12078223316162877,0.920686777539203,150
687652174.3887985,32406038184.027855,1.9740630966413195,788841.9872370155,0.0010470691090602947,7.114820535805463,0.11348339034887382,0.9057909828714013,200
769641889.5019417,32413457404.401054,1.9733388963448788,794110.7698126773,0.0009415289424434084,5.804624057492097,0.10683792430622893,0.8964997620099026,250
836028394.1652787,32416345848.334587,1.9724178845848441,800650.6512220805,0.0008691084144267546,4.9349970435323876,0.10147268138905871,0.889484498350234,300
893318672.0716381,32418231334.31367,1.9716299305589309,806212.641026963,0.0008169086501968603,4.381716566388542,0.09728794947077671,0.8835959864368224,350
944527137.4083366,32420308873.96705,1.970626909631761,811645.0391957515,0.0008137669562227875,4.008920882625299,0.09388995016335057,0.8783268818745308,400
991670362.8977804,32422198086.77999,1.9698097144297102,818243.5292436833,0.0008142228783575625,3.747435741599836,0.09103088586348809,0.8733294645415868,450
1035633152.4532013,32423859000.21596,1.968518743961801,824923.5289208165,0.0007825847204217764,3.5561060662507353,0.08857025751617417,0.8683982508135769,500
