total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,reprojection_data_error,recovery_err,phase_convergence_step,mag_convergence_step,iteraciones
34224688.90039438,14206165.319007417,1.5169269090863358,497762.9105309593,0.9993633186651107,0.9935027103571936,,,1
34335179.7284975,14356954.545252789,1.5169258315970917,497762.25137070584,0.999360048651252,0.9934847802484232,3.656903111722174e-05,0.3181117806615938,2
34502387.13201937,14585618.861936409,1.516924547957917,497723.2228868939,0.9993534712316785,0.9934577103816484,5.480275167669762e-05,0.47998481774565255,3
34727826.17756437,14895543.878215857,1.516922916783946,497711.47800363845,0.9993434920407428,0.9934212467180248,7.310296559806164e-05,0.6460234398577304,4
35015544.39002626,15291507.534587383,1.516920887498923,497716.2904229645,0.9993299563554792,0.9933750263871963,9.159139564560514e-05,0.817972701035915,5
35369219.935036555,15779800.22066045,1.5169193162141332,497722.99913929566,0.9993126460330969,0.9933186394680291,0.00011047053197044188,0.9976010957330815,6
35793949.54003869,16368385.46479788,1.5169193295412333,497711.4444848001,0.999291272712653,0.9932515167534125,0.00013015900602237793,1.1870325672259572,7
36290606.655195594,17067100.711164378,1.5169169539360616,497687.24652142473,0.9992654700537958,0.9931728952158408,0.00015181334751022897,1.3883424704048442,8
36861960.22151801,17887877.96286826,1.5169184452364632,497666.2400782857,0.9992347823555403,0.9930817690445022,0.00017699161304181104,1.6025900239395778,9
37515550.41824697,18845104.12942545,1.5169214601435013,497653.3808743354,0.999198651039125,0.9929770592651626,0.00019664694221702145,1.8359095661905258,10
